video,window_index,window_start_sec,window_end_sec,selected_region,selected_method,selected_bpm,face_snr,face_quality,background_region,background_bpm,background_snr,background_snr_ratio,background_margin_score,shuffle_bpm,shuffle_snr,shuffle_drop_score,perturbation_median_dev_bpm,perturbation_stability_score,perturbation_detail,face_quality_score,window_evidence_score,flags
1.mp4,0,0.0,19.933,mid_face,green,99.316,37.669,5.686,bg_bottom_right,97.559,32.699,0.868,0.129,161.279,9.112,0.758,0.0,1.0,brightness_norm:99.3; drop_every_3:99.3,1.0,62.8,background_peak_competes
1.mp4,1,5.0,24.933,patch_r02_c02,g_minus_r,90.967,39.597,5.577,bg_bottom_left,92.725,27.922,0.705,0.318,200.83,10.098,0.745,0.0,1.0,brightness_norm:91.0; drop_every_3:91.0,1.0,69.3,
1.mp4,2,10.0,29.933,mid_face,pos,90.967,26.539,5.092,bg_top_right,84.814,57.103,2.152,0.0,127.441,5.778,0.782,5.493,0.503,brightness_norm:102.0; drop_every_3:91.0,1.0,44.9,background_peak_competes
1.mp4,3,15.0,34.933,patch_r02_c02,g_minus_r,102.832,32.78,5.707,bg_bottom_right,105.469,45.865,1.399,0.0,170.508,6.62,0.798,0.439,0.947,brightness_norm:103.3; drop_every_3:103.3,1.0,57.7,background_peak_competes
1.mp4,4,20.0,39.933,upper_face,g_minus_r,100.635,68.413,6.594,bg_bottom_left,106.787,88.002,1.286,0.0,98.438,8.531,0.875,1.318,0.848,brightness_norm:103.3; drop_every_3:100.6,1.0,56.8,background_peak_competes
1.mp4,5,25.0,44.933,upper_face,g_minus_r,99.756,156.084,7.597,bg_bottom_left,102.393,75.771,0.485,0.658,190.283,6.692,0.957,0.44,0.947,brightness_norm:98.9; drop_every_3:99.8,1.0,85.2,
1.mp4,6,30.0,49.933,patch_r01_c04,green,99.316,61.705,6.628,bg_bottom_right,133.154,24.902,0.404,0.826,141.943,3.973,0.936,0.439,0.947,brightness_norm:98.9; drop_every_3:98.9,1.0,90.7,
1.mp4,7,35.0,54.933,patch_r04_c02,g_minus_r,94.043,69.333,5.996,bg_top_left,102.832,59.09,0.852,0.146,211.816,7.383,0.894,0.439,0.947,brightness_norm:94.5; drop_every_3:93.6,1.0,65.2,background_peak_competes
1.mp4,8,40.0,59.933,lower_face,green,95.801,47.592,5.953,bg_top_left,100.195,41.769,0.878,0.119,94.922,6.346,0.867,0.22,0.973,brightness_norm:96.2; drop_every_3:95.8,1.0,64.3,background_peak_competes
3.mp4,0,0.0,19.933,patch_r02_c03,g_minus_r,105.908,39.197,5.824,bg_top_left,90.088,63.923,1.631,0.0,152.49,8.354,0.787,0.22,0.973,brightness_norm:106.3; drop_every_3:105.9,1.0,58.1,background_peak_competes
3.mp4,1,5.0,24.933,patch_r05_c02,g_minus_r,98.438,44.185,6.134,bg_top_left,112.939,55.92,1.266,0.0,171.826,10.503,0.762,0.001,1.0,brightness_norm:98.4; drop_every_3:98.4,1.0,58.3,background_peak_competes
3.mp4,2,10.0,29.933,patch_r05_c05,green,112.5,37.784,6.079,bg_top_left,113.818,38.776,1.026,0.0,106.348,5.309,0.859,13.403,0.187,brightness_norm:85.7; drop_every_3:112.5,1.0,37.9,"background_peak_competes, perturbation_unstable"
3.mp4,3,15.0,34.933,patch_r01_c01,pos,112.939,58.329,6.248,bg_top_right,102.393,27.887,0.478,0.672,153.809,3.62,0.938,0.0,1.0,brightness_norm:112.9; drop_every_3:112.9,1.0,86.7,
3.mp4,4,20.0,39.933,patch_r02_c03,green,110.303,40.768,6.117,bg_bottom_right,99.756,35.467,0.87,0.127,136.23,5.746,0.859,0.659,0.921,brightness_norm:109.4; drop_every_3:109.9,1.0,63.0,background_peak_competes
3.mp4,5,25.0,44.933,mid_face,green,97.559,49.607,6.313,bg_bottom_left,90.967,25.441,0.513,0.608,154.248,10.107,0.796,0.879,0.896,brightness_norm:98.9; drop_every_3:97.1,1.0,78.1,
3.mp4,6,30.0,49.933,face_full,green,94.482,57.566,6.48,bg_bottom_right,99.316,42.961,0.746,0.266,127.881,9.847,0.829,0.879,0.896,brightness_norm:96.2; drop_every_3:94.5,1.0,66.6,
3.mp4,7,35.0,54.933,mid_face,green,92.285,129.964,7.349,bg_bottom_left,85.254,45.814,0.353,0.949,132.275,3.556,0.973,4.395,0.577,brightness_norm:101.1; drop_every_3:92.3,1.0,85.7,
3.mp4,8,40.0,59.933,patch_r03_c01,g_minus_r,95.361,46.502,6.245,bg_bottom_left,101.074,51.837,1.115,0.0,150.732,6.962,0.85,0.22,0.973,brightness_norm:95.4; drop_every_3:94.9,1.0,59.6,background_peak_competes
3.mp4,9,45.0,64.933,patch_r05_c01,green,102.393,45.762,5.999,bg_bottom_right,98.877,60.991,1.333,0.0,126.562,7.124,0.844,1.758,0.803,brightness_norm:105.9; drop_every_3:102.4,1.0,54.7,background_peak_competes
3.mp4,10,50.0,69.933,patch_r03_c01,g_minus_r,88.77,76.095,6.53,bg_bottom_right,97.998,38.133,0.501,0.629,218.848,11.671,0.847,0.22,0.973,brightness_norm:89.2; drop_every_3:88.8,1.0,82.2,
3.mp4,11,55.0,74.933,patch_r04_c03,pos,101.953,60.27,6.532,bg_bottom_right,94.482,32.982,0.547,0.549,127.881,9.574,0.841,0.0,1.0,brightness_norm:102.0; drop_every_3:102.0,1.0,79.9,
3.mp4,12,60.0,79.933,patch_r04_c03,pos,101.074,131.607,7.541,bg_top_left,90.527,62.747,0.477,0.674,184.57,7.158,0.946,0.22,0.973,brightness_norm:101.5; drop_every_3:101.1,1.0,86.2,
3.mp4,13,65.0,84.933,patch_r04_c04,g_minus_r,90.527,51.143,6.14,bg_bottom_left,80.42,53.723,1.05,0.0,187.646,6.459,0.874,9.668,0.299,brightness_norm:109.9; drop_every_3:90.5,1.0,41.3,"background_peak_competes, perturbation_unstable"
3.mp4,14,70.0,89.933,patch_r02_c04,g_minus_r,85.254,77.642,6.538,bg_top_right,88.33,56.104,0.723,0.296,134.912,9.191,0.882,0.0,1.0,brightness_norm:85.3; drop_every_3:85.3,1.0,71.8,
3.mp4,15,75.0,94.933,patch_r01_c05,g_minus_r,99.316,61.634,6.549,bg_top_right,100.635,60.641,0.984,0.015,166.113,4.64,0.925,0.22,0.973,brightness_norm:98.9; drop_every_3:99.3,1.0,62.0,background_peak_competes
4.mp4,0,0.0,19.933,patch_r05_c04,green,99.316,125.104,7.758,bg_bottom_right,93.164,64.578,0.516,0.602,148.096,5.384,0.957,0.22,0.973,brightness_norm:99.8; drop_every_3:99.3,1.0,83.9,
4.mp4,1,5.0,24.933,patch_r04_c01,g_minus_r,99.756,72.8,6.901,bg_bottom_right,92.285,92.604,1.272,0.0,171.387,6.206,0.915,0.0,1.0,brightness_norm:99.8; drop_every_3:99.8,1.0,62.0,background_peak_competes
